KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
3863594,0.0532682,0,55000,0.004327,0.79,-1,-1,-1,-1,FALSE
10417986,0.0737309,0,55000.02748,0.004231,0.99,81.039,11.082,9.128,-1,TRUE
8912468,0.094838,0,54953.57695,0.005326,0.98,80.1095,7.8882,11.751,6194,FALSE
8758716,0.1072049,0,54953.67299,0.006197,1,77.7478,11.6565,13.531,-1,FALSE
10855535,0.1127824,0,54964.62932,0.006374,0.99,79.3949,15.9212,13.87,7555,FALSE
9472174,0.1257653,0.0000001,54953.64318,0.018318,0.78,79.0187,11.6745,12.264,10645,TRUE
9612468,0.1334715,0.0000001,54953.6038,0.007796,0.99,81.0112,8.5285,11.531,7202,FALSE
6613627,0.1507996,0.0000001,55115.34485,0.008552,0.98,75.1606,10.2517,12.548,7090,FALSE
5302006,0.1511712,0.0000001,54980.50904,0.007895,0.97,75.3495,6.6449,15.05,6536,FALSE
9898401,0.1527742,0.0000001,54964.73397,0.00881,0.99,79.6654,11.8375,12.073,7376,FALSE
7375612,0.1600729,0.0000001,54953.6387,0.008521,0.97,76.4714,9.6904,12.041,6682,FALSE
5872696,0.1726132,0.0000001,54953.79871,0.009822,0.99,73.2243,12.1282,11.854,-1,FALSE
7767774,0.1733883,0.0000001,55007.74026,0.009929,0.99,77.315,9.3041,12.511,-1,FALSE
12350008,0.1845296,0.0000001,55002.01444,0.007796,0.71,81.7612,18.1985,14.602,6108,FALSE
10684673,0.1925563,0.0000001,55026.59881,0.010851,1,81.9764,10.3016,11.125,7106,TRUE
9532219,0.1981551,0.0000001,55001.94539,0.011223,0.77,78.9874,11.9849,16.118,5031,FALSE
6699679,0.2012033,0.0000001,54953.61283,0.011484,1,75.3042,10.2256,11.574,-1,FALSE
6287172,0.2038732,0.0000001,54953.65191,0.010821,0.95,74.2716,11.0419,12.714,6646,FALSE
11825204,0.2096356,0.0000001,54964.74609,0.012214,0.98,83.3887,12.1048,13.797,7074,FALSE
4921906,0.2137324,0.0000001,54964.61745,0.011635,0.96,72.413,11.231,15.203,4800,FALSE
6387887,0.2169003,0.0000008,54999.9686,0.005577,0.58,76.4069,7.3539,17.037,10648,FALSE
8288741,0.2197664,0.0000001,55000.11923,0.006874,0.64,75.1191,15.5587,14.499,5557,FALSE
12055255,0.2209394,0.0000001,54964.52518,0.01164,0.9,81.2592,17.7243,15.866,4093,FALSE
11013201,0.2273937,0.0000001,55001.99071,0.013106,0.98,77.9525,20.5223,9.275,7779,TRUE
8108785,0.2288269,0.0000001,54964.6407,0.012704,0.76,77.4115,10.0745,14.757,4354,FALSE
1572353,0.2289313,0.0000001,54964.67457,0.013123,0.91,69.7485,9.9451,15.234,4470,FALSE
10288502,0.2301847,0.0000001,54964.67742,0.013599,0.97,81.0008,10.8364,14.794,6116,FALSE
10453521,0.2307783,0.0000067,55000,0.040797,0.36,77.4985,19.0744,14.208,6541,FALSE
9238207,0.231353,0.0000002,55001.96661,0.012257,0.75,79.9056,9.0882,15.61,4910,FALSE
5166136,0.2339477,0.0000001,54964.80908,0.013922,0.82,70.3939,16.2799,15.349,4986,FALSE
8555795,0.2345234,0.0000001,55000.0992,0.008403,0.63,76.3279,13.8353,15.919,5002,FALSE
6144827,0.2346497,0.0000001,54964.64414,0.013294,0.82,75.8604,7.7098,14.997,5217,FALSE
10030943,0.2357801,0.0000001,54953.67463,0.012916,1,81.1019,9.7171,11.326,6704,TRUE
10965091,0.2358555,0.0000001,54964.69624,0.013589,0.76,78.7688,17.9309,15.28,4718,FALSE
2715417,0.2364399,0.0000001,54964.66616,0.013583,0.77,70.7256,9.7376,14.07,5189,FALSE
11413213,0.2374665,0.0000002,55002.09495,0.014974,0.87,82.5467,12.0281,15.861,4213,FALSE
9077796,0.2380804,0.0000001,54964.64525,0.010138,0.72,76.1139,16.4436,15.439,3516,FALSE
6050116,0.2399081,0.0000001,54964.70801,0.015182,0.79,74.5792,9.817,14.258,4569,FALSE
12458797,0.2413212,0.0000002,55182.79109,0.014134,0.94,82.7162,16.3581,13.895,4583,FALSE
6350020,0.2417928,0.0000001,54964.61379,0.012586,0.74,72.4528,15.0395,15.383,5592,FALSE
7198474,0.2423046,0.0000001,55000.06817,0.037166,0.76,74.8344,12.3585,15.556,5759,FALSE
7546791,0.2423615,0.0000001,54964.60402,0.014505,0.94,77.0974,8.9391,13.566,5038,FALSE
7871200,0.2429038,0.0000001,54953.67732,0.013169,0.75,73.2458,18.4483,12.799,4644,FALSE
7959612,0.2432138,0.0000026,55000.09559,0.014191,0.81,75.9245,12.5288,16.889,5187,FALSE
3972629,0.2442402,0.0000001,54964.81259,0.016796,0.85,73.1772,7.5111,14.931,5076,FALSE
9345163,0.2451223,0.0000001,54964.75722,0.014487,0.77,78.2595,12.6186,15.458,4799,FALSE
8816790,0.2458562,0.0000001,55001.99946,0.014076,0.79,76.9241,13.4819,13.693,6226,FALSE
12216817,0.2462731,0.0000001,55002.06796,0.014126,1,83.7802,13.1896,10.662,6681,TRUE
11494583,0.2483419,0.0000001,54964.6852,0.015511,0.94,79.4133,19.3495,15.439,4385,FALSE
4738426,0.2488352,0.0000001,54964.65962,0.01452,0.96,71.5806,12.4784,15.335,6016,FALSE
8122124,0.2492776,0.0000001,54964.61283,0.01422,1,78.6563,7.9439,13.638,6250,FALSE
9032671,0.2496079,0.0000001,54953.79874,0.01356,0.7,78.6247,10.7845,12.982,4807,FALSE
5960283,0.2496681,0.0000001,55110.10176,0.014553,0.94,73.6866,11.3288,15.761,5308,FALSE
9412114,0.2502522,0.0000002,55001.89387,0.014397,0.86,79.0686,11.4142,15.226,5991,FALSE
9004380,0.2503325,0.0000001,54964.60001,0.013059,0.97,75.3203,17.9996,14.238,6070,FALSE
4857282,0.2507526,0.0000001,54904.26488,0.013134,0.75,74.3908,7.1627,14.173,5456,FALSE
12602985,0.2508689,0.0000002,55002.09063,0.014561,0.88,83.1553,16.3159,15.152,4878,FALSE
11336707,0.2512982,0.0000001,54964.63737,0.015855,0.91,78.9481,19.5864,14.804,4751,FALSE
12104285,0.2514509,0.0000001,54964.71369,0.016437,0.87,81.3791,17.8695,15.841,4658,FALSE
8367007,0.251616,0.0000001,54964.93398,0.014635,0.81,76.7335,12.3302,13.532,6239,FALSE
11769739,0.2524728,0.0000001,54964.65986,0.014623,0.77,82.6823,13.1342,15.033,5136,FALSE
4138301,0.2533791,0.0000001,54964.68522,0.015875,0.9,69.7502,14.8833,14.697,5132,FALSE
9478836,0.2540637,0.0000001,55002.13251,0.01185,0.71,79.7348,10.2589,15.218,4939,FALSE
12508348,0.2556047,0.0000001,54951.66078,0.014908,0.97,82.7273,16.6052,13.428,8961,FALSE
5685072,0.2559051,0.0000002,54964.62651,0.01287,0.73,70.9453,16.663,13.187,4626,FALSE
3839964,0.2561499,0.0000001,54964.79143,0.016135,0.8,70.4116,12.7856,14.602,5332,FALSE
12598713,0.257179,0.0000001,54953.67439,0.014574,0.94,82.5187,17.8034,12.762,5189,FALSE
9700154,0.2572534,0.0000001,54964.78893,0.016893,0.8,77.0291,16.7085,15.495,4315,FALSE
