,cpcb1_flag,tb_simonian_flag,binary_berger_flag,subgiant_berger_flag,koi_flag,norot_flag
892834.0,-999.0,-999.0,0.0,0.0,-999.0,
892882.0,-999.0,-999.0,-999.0,-999.0,-999.0,
893033.0,-999.0,-999.0,0.0,0.0,-999.0,
1026146.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1026287.0,-999.0,-999.0,0.0,0.0,-999.0,
1026992.0,-999.0,-999.0,0.0,0.0,-999.0,
1027016.0,1.0,-999.0,1.0,0.0,-999.0,
1027277.0,-999.0,-999.0,0.0,0.0,-999.0,
1027330.0,-999.0,-999.0,0.0,0.0,-999.0,
1027631.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1160947.0,-999.0,-999.0,0.0,0.0,-999.0,
1161315.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1162635.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1163090.0,-999.0,-999.0,0.0,0.0,-999.0,
1163303.0,-999.0,-999.0,0.0,0.0,-999.0,
1163994.0,-999.0,-999.0,0.0,0.0,-999.0,
1164071.0,-999.0,-999.0,0.0,0.0,-999.0,
1164102.0,-999.0,-999.0,0.0,0.0,-999.0,
1164583.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1292688.0,-999.0,-999.0,0.0,0.0,-999.0,
1293861.0,-999.0,-999.0,0.0,0.0,-999.0,
1293907.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1293993.0,-999.0,-999.0,0.0,0.0,-999.0,
1294535.0,-999.0,-999.0,0.0,0.0,-999.0,
1295195.0,-999.0,-999.0,0.0,0.0,-999.0,
1295289.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1296779.0,-999.0,-999.0,0.0,0.0,-999.0,
1296787.0,-999.0,-999.0,0.0,0.0,-999.0,
1297058.0,-999.0,-999.0,0.0,0.0,-999.0,
1297166.0,-999.0,-999.0,0.0,0.0,-999.0,
1297303.0,-999.0,-999.0,0.0,0.0,-999.0,
1429153.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1429893.0,-999.0,-999.0,0.0,0.0,-999.0,
1429921.0,-999.0,-999.0,0.0,0.0,-999.0,
1430330.0,-999.0,-999.0,0.0,0.0,-999.0,
1430349.0,-999.0,-999.0,0.0,0.0,-999.0,
1430893.0,-999.0,-999.0,0.0,0.0,-999.0,
1431060.0,-999.0,-999.0,1.0,0.0,-999.0,
1431116.0,-999.0,-999.0,0.0,0.0,-999.0,
1431287.0,-999.0,-999.0,0.0,0.0,-999.0,
1431845.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1432700.0,-999.0,-999.0,0.0,0.0,-999.0,
1432745.0,-999.0,-999.0,0.0,0.0,-999.0,
1432847.0,-999.0,-999.0,0.0,0.0,-999.0,
1433040.0,-999.0,-999.0,0.0,0.0,-999.0,
1433104.0,-999.0,-999.0,0.0,0.0,-999.0,
1433755.0,-999.0,-999.0,0.0,0.0,-999.0,
1434976.0,-999.0,-999.0,0.0,0.0,-999.0,
1435229.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1435260.0,-999.0,-999.0,0.0,0.0,-999.0,
1435987.0,-999.0,-999.0,0.0,0.0,-999.0,
1569682.0,-999.0,-999.0,0.0,0.0,-999.0,
1570711.0,-999.0,-999.0,0.0,0.0,-999.0,
1570915.0,-999.0,-999.0,0.0,0.0,-999.0,
1571003.0,-999.0,-999.0,0.0,0.0,-999.0,
1571364.0,-999.0,-999.0,0.0,0.0,-999.0,
1572038.0,-999.0,-999.0,0.0,0.0,-999.0,
1572433.0,-999.0,-999.0,0.0,0.0,-999.0,
1572802.0,1.0,-999.0,0.0,0.0,-999.0,
1573478.0,-999.0,-999.0,1.0,0.0,-999.0,
1574944.0,-999.0,-999.0,0.0,0.0,-999.0,
1575424.0,-999.0,-999.0,0.0,0.0,-999.0,
1576141.0,-999.0,-999.0,0.0,0.0,-999.0,
1577003.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1577167.0,-999.0,-999.0,0.0,0.0,-999.0,
1577265.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1701553.0,-999.0,-999.0,0.0,0.0,-999.0,
1717515.0,-999.0,-999.0,0.0,0.0,-999.0,
1717999.0,-999.0,-999.0,0.0,0.0,-999.0,
1718071.0,-999.0,-999.0,0.0,0.0,-999.0,
1719166.0,-999.0,-999.0,0.0,0.0,-999.0,
1719358.0,-999.0,-999.0,0.0,0.0,-999.0,
1720196.0,-999.0,-999.0,0.0,0.0,-999.0,
1720670.0,-999.0,-999.0,1.0,0.0,-999.0,
1720673.0,-999.0,-999.0,0.0,0.0,-999.0,
1721157.0,-999.0,-999.0,0.0,0.0,1.0,
1721911.0,-999.0,-999.0,0.0,0.0,-999.0,
1722134.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1722506.0,-999.0,-999.0,0.0,0.0,-999.0,
1723529.0,-999.0,-999.0,0.0,0.0,-999.0,
1724234.0,-999.0,-999.0,0.0,0.0,-999.0,
1724498.0,-999.0,-999.0,1.0,0.0,-999.0,
1724806.0,-999.0,-999.0,0.0,0.0,-999.0,
1725330.0,-999.0,-999.0,0.0,0.0,-999.0,
1849590.0,-999.0,-999.0,0.0,0.0,-999.0,
1849702.0,-999.0,-999.0,-999.0,-999.0,1.0,
1865477.0,-999.0,-999.0,0.0,0.0,-999.0,
1865663.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1865864.0,-999.0,-999.0,0.0,0.0,1.0,
1865925.0,-999.0,-999.0,0.0,0.0,-999.0,
1866058.0,-999.0,-999.0,0.0,0.0,-999.0,
1866535.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1866924.0,-999.0,-999.0,0.0,0.0,-999.0,
1866985.0,-999.0,-999.0,0.0,0.0,-999.0,
1866986.0,-999.0,-999.0,0.0,0.0,-999.0,
1867210.0,-999.0,-999.0,0.0,0.0,-999.0,
1867358.0,-999.0,-999.0,0.0,0.0,-999.0,
1867462.0,-999.0,-999.0,0.0,0.0,-999.0,
1867645.0,-999.0,-999.0,0.0,0.0,-999.0,
1868233.0,-999.0,-999.0,0.0,0.0,-999.0,
1868524.0,-999.0,-999.0,0.0,0.0,-999.0,
1868579.0,-999.0,-999.0,0.0,0.0,-999.0,
1869783.0,-999.0,-999.0,1.0,0.0,-999.0,
1871120.0,-999.0,-999.0,0.0,0.0,-999.0,
1871483.0,-999.0,-999.0,2.0,0.0,1.0,
1871665.0,-999.0,-999.0,0.0,0.0,-999.0,
1872289.0,-999.0,-999.0,0.0,0.0,-999.0,
1872433.0,-999.0,-999.0,0.0,0.0,-999.0,
1872885.0,1.0,-999.0,0.0,0.0,-999.0,
1873523.0,-999.0,-999.0,0.0,0.0,-999.0,
1873543.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1873656.0,-999.0,-999.0,1.0,0.0,-999.0,
1874294.0,-999.0,-999.0,0.0,0.0,-999.0,
1995089.0,-999.0,-999.0,-999.0,-999.0,-999.0,
1996399.0,-999.0,-999.0,0.0,0.0,-1.0,
1996574.0,-999.0,-999.0,0.0,0.0,-999.0,
1996637.0,-999.0,-999.0,1.0,0.0,-999.0,
1996668.0,-999.0,-999.0,0.0,0.0,-999.0,
1996773.0,-999.0,-999.0,0.0,0.0,-999.0,
1996936.0,-999.0,-999.0,0.0,0.0,-999.0,
2010579.0,-999.0,-999.0,0.0,0.0,-999.0,
2010738.0,-999.0,-999.0,0.0,0.0,-999.0,
2011417.0,-999.0,-999.0,0.0,0.0,-999.0,
2011878.0,-999.0,-999.0,0.0,0.0,-999.0,
2012265.0,-999.0,-999.0,0.0,0.0,-999.0,
2012486.0,-999.0,-999.0,0.0,0.0,-999.0,
2012631.0,-999.0,-999.0,0.0,0.0,-999.0,
2012731.0,-999.0,-999.0,0.0,0.0,-999.0,
2013284.0,-999.0,-999.0,0.0,0.0,-999.0,
2013577.0,-999.0,-999.0,1.0,0.0,-999.0,
2013627.0,-999.0,-999.0,1.0,0.0,-999.0,
2013754.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2014065.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2014087.0,-999.0,-999.0,0.0,0.0,-999.0,
2014203.0,-999.0,-999.0,1.0,0.0,-999.0,
2015025.0,-999.0,-999.0,0.0,0.0,-999.0,
2015098.0,-999.0,-999.0,0.0,0.0,-999.0,
2015124.0,-999.0,-999.0,1.0,0.0,-999.0,
2015302.0,-999.0,-999.0,0.0,0.0,-999.0,
2015703.0,-999.0,-999.0,0.0,0.0,-999.0,
2015767.0,-999.0,-999.0,0.0,0.0,-999.0,
2016171.0,-999.0,-999.0,0.0,0.0,-999.0,
2016219.0,-999.0,-999.0,1.0,0.0,-999.0,
2016599.0,-999.0,-999.0,1.0,0.0,-999.0,
2016979.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2017659.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2017962.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2018047.0,-999.0,-999.0,0.0,0.0,-999.0,
2018383.0,-999.0,-999.0,1.0,0.0,-999.0,
2018492.0,-999.0,-999.0,0.0,0.0,-999.0,
