KIC,vt
5119143,nv
5119259,nv
5119480,st
5119526,st
5119571,nv
5119572,nv
5119575,nv
5119581,nv
5119619,st
5119742,lt
5119750,nv
5119808,nv
5119861,nv
5119872,nv
5119899,st
5119901,nv
5119906,lt
5119928,st
5120062,nv
5120087,nv
5120165,nv
5120190,st
5120225,nv
5120255,nv
5120299,mt
5120447,lt
5120454,nv
5120479,nv
5120569,lt
5120608,nv
5120654,nv
5120676,nv
5120689,mt
5120720,nv
5120770,nv
5120829,mt
5120835,nv
5120902,st
5120920,nv
5120923,nv
5120982,nv
5120993,nv
5120997,lt
5121003,st
5121037,st
5121044,lt
5121051,st
5121064,nv
5121077,nv
5121116,nv
5121118,nv
5121130,nv
5121136,nv
5121139,nv
5121173,mt
5121219,mt
5121233,st
5121239,st
5121261,nv
5121320,st
5121363,nv
5121408,nv
5121477,nv
5121566,mt
5121586,nv
5121592,st
5121603,nv
5121605,nv
5121607,st
5121623,nv
5121696,nv
5121711,nv
5121791,nv
5121907,st
5121915,st
5121933,lt
5121946,mt
5121956,nv
5121964,st
5121989,nv
5121993,nv
5121994,nv
5122109,nv
5122110,nv
5122112,eb
5122176,st
5122201,nv
5122206,nv
5122207,nv
5122248,lt
5122276,st
5122279,nv
5122421,lt
5122468,st
5122491,lt
5122498,st
5122808,st
5122859,st
5122890,nv
5122912,nv
5122990,nv
5123041,nv
5123097,mt
5123134,nv
5123176,eb
5123182,nv
5123220,st
5123226,nv
5123246,mt
5123250,nv
5123260,st
5123323,nv
5123384,nv
5123433,lt
5123435,st
5123475,lt
5123516,st
5123554,nv
5123568,nv
5123580,nv
5123614,nv
5123615,st
5123624,lt
5123627,lt
5123634,nv
5123659,st
5123682,nv
5123819,nv
5123838,st
5123884,st
5123889,st
5124013,st
5124030,mt
5124109,nv
5124136,nv
5124157,nv
5124213,st
5124253,nv
5124254,nv
5124280,st
5124299,st
5124331,nv
5124342,nv
5124351,nv
5124372,nv
5124445,nv
5124509,st
5124542,nv
5124568,st
5124575,nv
5124620,st
5124657,nv
5124667,nv
5124684,mt
5124719,nv
5124735,nv
5124813,nv
5124820,lt
5124850,st
5124884,nv
5124907,st
5124923,nv
5124949,st
5124996,st
5125000,mt
5125045,nv
5125048,nv
5125098,nv
5125100,nv
5125122,nv
5125196,mt
5125244,st
5125261,nv
5125347,st
5125414,st
5125441,nv
5125590,nv
5125602,nv
5125633,nv
5125726,mt
5125727,nv
5125742,st
5125745,nv
5125783,st
5125793,nv
5125846,mt
5125870,st
5125900,nv
5125902,st
5125937,mt
5125948,nv
5125990,nv
5126033,st
5126115,nv
5126149,st
5126182,st
5126189,st
5126225,nv
5126229,nv
5126248,st
5126278,nv
5126303,st
5126330,mt
5126426,nv
5126434,st
5126463,st
5126509,nv
5126608,nv
5126629,nv
5126634,nv
5126636,st
5126666,nv
5126672,st
5126724,nv
5126762,mt
5126855,st
5126954,nv
5127005,eb
5127030,st
5127180,st
5127332,st
5127367,nv
5127432,nv
5127442,nv
5127513,nv
5127545,nv
5127652,nv
5127722,st
5127730,st
5127774,lt
5127794,nv
5127807,st
5127812,nv
5127830,nv
5127832,nv
5127859,nv
5127939,nv
5127940,st
5127947,st
5127988,lt
5128051,nv
5128086,nv
5128159,nv
5128167,lt
5128171,nv
5128223,mt
5128249,nv
5128272,st
5128305,mt
5128388,nv
5128437,nv
5128448,lt
5128550,nv
5128612,nv
5128673,nv
5128725,lt
5128805,nv
5128886,nv
5128931,nv
5128966,st
5128989,st
5129011,lt
5129031,nv
5129034,st
5129074,st
5129078,st
5129134,nv
5129145,nv
5129236,nv
5129251,mt
5129257,nv
5129367,st
5129374,nv
5129409,nv
5129453,st
5129551,mt
5129635,nv
5129687,nv
5129737,lt
5129738,lt
5129747,nv
5129771,nv
5129777,eb
5129793,nv
5129830,st
5129882,nv
5129970,nv
5129971,nv
5129976,nv
5129977,nv
5130005,st
5130011,st
5130023,nv
5130061,nv
5130066,nv
5130068,nv
5130161,nv
5130268,nv
5130287,st
5130305,nv
5130311,nv
5130326,st
5130336,nv
5130369,nv
5130380,eb
5130466,st
5130472,nv
5130490,nv
5130563,st
5130641,nv
5130650,nv
5130653,nv
5130657,nv
5130729,nv
5130740,eb
5130771,nv
5130844,st
5130848,nv
5130865,nv
5130888,st
5130890,nv
5130983,st
5131026,nv
5131078,nv
5131142,nv
5131160,st
5131179,nv
5131254,nv
5131276,nv
5131294,mt
5131313,nv
5131330,nv
5131367,mt
5131463,st
5131480,st
5131573,st
5131600,st
5131601,st
5170870,nv
5170876,nv
5170895,nv
5170950,nv
5170962,st
5170994,st
5171031,nv
5171053,nv
5171078,nv
5171118,nv
5171167,nv
5171202,nv
5171228,lt
5171232,st
5171235,nv
5171250,nv
5171259,nv
5171263,nv
5171270,nv
5171285,nv
5171293,nv
5171311,nv
5171320,st
5171330,nv
5171332,nv
5171333,nv
5171356,st
5171411,nv
5171433,nv
5171451,nv
5171478,nv
5171490,nv
5171493,nv
5171499,st
5171529,nv
5171535,lt
5171555,lt
5171570,st
5171575,st
5171577,nv
5171592,nv
5171595,nv
5171598,nv
5171622,st
5171623,nv
5171653,nv
5171663,nv
5171707,mt
5171744,mt
5171752,nv
5171795,nv
5171798,nv
5171803,nv
5171890,nv
5171909,nv
5171912,nv
5171925,nv
5171951,st
5171959,nv
5171988,nv
5172043,nv
5172050,st
5172065,nv
5172152,st
5172153,nv
5172170,nv
5172174,nv
5172189,nv
5172229,nv
5172238,nv
5172241,nv
5172274,st
5172280,nv
5172380,nv
5172382,nv
5172408,nv
5172426,nv
5172427,nv
5172447,nv
5172478,nv
5174302,nv
5174359,nv
5174376,st
5174415,nv
5174424,nv
5174429,lt
5174443,nv
5174476,nv
5174492,nv
5174523,nv
5174532,nv
5174539,nv
5174562,nv
5174603,mt
5174642,nv
5174655,st
5174665,nv
5174677,eb
5174691,nv
5174713,nv
5174733,st
5174741,nv
5174747,nv
5174792,lt
5174837,nv
5174847,nv
5174858,nv
5174861,st
5174872,nv
5174891,nv
5174910,nv
5174918,nv
5174920,mt
5174931,nv
5174945,nv
5174959,nv
5174989,nv
5174999,nv
5175024,nv
5175089,nv
5175109,st
5175145,nv
5175151,nv
5175152,lt
5175161,nv
5175167,mt
5175172,nv
5175182,nv
5175195,nv
5175221,nv
5175233,nv
5175240,st
5175248,nv
5175379,nv
5175427,st
5175436,nv
5175444,nv
5175461,nv
5175464,nv
5175481,st
5175502,nv
5175503,nv
5175514,st
5175523,nv
5175527,nv
5175538,nv
5175576,nv
5175607,st
5175621,nv
5175623,nv
5175633,nv
5175650,st
5175655,nv
5175661,nv
5175666,lt
5175667,st
5175668,eb
5175695,st
5175697,st
5175712,nv
5175734,nv
5175755,nv
5175758,nv
5175760,nv
5175788,nv
5175814,nv
5175843,nv
5175854,st
5175893,nv
5175926,mt
5175927,nv
5175929,nv
5175950,nv
5175955,nv
5175986,st
5175989,nv
5176032,mt
5176059,nv
5176067,st
5176131,nv
5176159,nv
5176161,nv
5176200,st
5176204,nv
5176205,mt
5176206,nv
5176214,mt
5176287,nv
5176289,mt
5176313,lt
5176317,nv
5176323,nv
5176344,lt
5176355,nv
5176356,nv
5176375,nv
5176379,nv
5176386,nv
5176446,nv
5176520,nv
5176531,nv
5176547,st
5176571,mt
5176581,st
5176588,mt
5176599,st
5176613,nv
5176616,nv
5176630,nv
5176633,nv
5176670,nv
5176709,nv
5176715,nv
5176729,lt
5176736,nv
5176748,nv
5176802,nv
5176899,st
5176912,nv
5176942,nv
5176981,nv
5176992,mt
5176994,mt
5177000,st
5177020,lt
5177023,nv
5177047,nv
5177053,nv
5177065,nv
5177104,nv
5177111,nv
5177145,nv
5177155,nv
5177163,nv
5177196,nv
5177208,nv
5177213,st
5177218,nv
5177283,nv
5177314,nv
5177340,st
5177443,nv
5177475,nv
5177556,nv
5177573,nv
5177591,nv
5177593,st
5177610,nv
5177648,nv
5177650,nv
5177657,nv
5177798,nv
5177834,nv
5177839,nv
5177853,nv
5177859,st
5178042,nv
5178483,lt
5178512,nv
5178518,nv
5178540,st
5178720,nv
5178770,lt
5178845,nv
5178912,nv
5178913,lt
5178918,lt
5178927,nv
5178969,lt
5178978,nv
5179066,nv
5179087,nv
5179118,nv
5179147,nv
5179162,lt
5179166,nv
5179185,nv
5179199,nv
5179232,st
5179251,nv
5179253,nv
5179328,nv
5179352,lt
5179375,nv
5179392,nv
5179396,lt
5179427,mt
5179471,mt
5179472,nv
5179481,nv
5179500,nv
5179505,nv
5179517,nv
5179537,nv
5179541,nv
5179584,nv
5179602,nv
5179606,nv
5179609,eb
5179655,nv
5179704,nv
5179711,nv
5179722,mt
5179724,st
5179744,nv
5179773,nv
5179808,nv
5179841,st
5179847,nv
5179881,nv
5179885,mt
5179887,nv
5179946,nv
5179965,st
5179979,nv
5180017,nv
5180026,nv
5180031,nv
5180038,mt
5180050,nv
5180052,nv
5180114,st
5180156,st
5180219,st
5180232,nv
5180305,nv
5180332,nv
5180345,nv
5180358,nv
5180364,nv
5180370,nv
5180418,nv
5180524,nv
5180528,nv
5180533,nv
5180568,st
5180613,lt
5180686,nv
5180718,nv
5180727,st
5180761,mt
5180783,nv
5180796,mt
5180815,lt
5180868,nv
5180877,nv
5180885,st
5180982,nv
5180996,mt
5181029,lt
5181086,nv
5181100,nv
5181108,nv
5181111,st
5181177,nv
5181199,lt
5181266,nv
5181282,nv
5181288,mt
5181299,nv
5181346,nv
5181349,mt
5181358,st
5181420,nv
5181455,eb
5181473,nv
5181492,nv
5181545,nv
5181547,st
5181566,nv
5181576,nv
5181578,nv
5181591,nv
5181600,nv
5181601,st
5181631,nv
5181633,mt
5181651,lt
5181664,lt
5181698,lt
5181740,nv
5181762,st
5181782,nv
5181804,eb
5181810,lt
5181817,nv
5181824,nv
5181838,nv
5181839,nv
5181857,nv
5181858,nv
5181871,lt
5181919,nv
5181930,nv
5181946,nv
5181964,st
5181985,nv
5182034,nv
5182046,nv
5182073,nv
5182126,nv
